MetaNetX,equation,deltag
MNXR149801,,
MNXR149804,,
MNXR192207,,
MNXR189768,,
MNXR189766,,
MNXR102295,,
MNXR192367,,
MNXR101245,,
MNXR97525,,
MNXR97525,,
MNXR97525,,
MNXR192211,,
MNXR134786,,
MNXR110921,,
MNXR149828,,
MNXR134787,,
MNXR134788,,
MNXR134789,,
MNXR134790,,
MNXR134791,,
MNXR149849,,
MNXR190887,,
MNXR149855,,
MNXR125932,,
MNXR149859,,
MNXR110977,,
MNXR148294,,
MNXR142126,,
MNXR192213,,
MNXR144543,,
MNXR134796,,
MNXR115002,,
MNXR152745,,
MNXR149891,,
MNXR149893,,
MNXR151908,,
MNXR149909,,
MNXR134798,,
MNXR145186,,
MNXR149911,,
MNXR149913,,
MNXR149915,,
MNXR134799,,
MNXR134800,,
MNXR102870,,
MNXR102870,,
MNXR102870,,
MNXR100299,,
MNXR100299,,
MNXR100299,,
MNXR100236,,
MNXR100236,,
MNXR100236,,
MNXR134801,,
MNXR101680,,
MNXR101680,,
MNXR101680,,
MNXR105281,,
MNXR105281,,
MNXR105281,,
MNXR101265,,
MNXR101265,,
MNXR101265,,
MNXR96103,,
MNXR96103,,
MNXR96103,,
MNXR104655,,
MNXR104655,,
MNXR104655,,
MNXR95952,,
MNXR95952,,
MNXR95952,,
MNXR100258,,
MNXR100258,,
MNXR100258,,
MNXR102222,,
MNXR102222,,
MNXR102222,,
MNXR105155,,
MNXR105155,,
MNXR100320,,
MNXR100320,,
MNXR100320,,
MNXR96691,,
MNXR96691,,
MNXR96691,,
MNXR104034,,
MNXR104034,,
MNXR146302,,
MNXR101054,,
MNXR101054,,
MNXR191134,,
MNXR100023,,
MNXR100023,,
MNXR144941,,
MNXR103338,,
MNXR103338,,
MNXR103338,,
MNXR100644,,
MNXR100644,,
MNXR100644,,
MNXR103210,,
MNXR103210,,
MNXR103210,,
MNXR96862,,
MNXR96862,,
MNXR96862,,
MNXR105268,,
MNXR105268,,
MNXR105268,,
MNXR105187,,
MNXR105187,,
MNXR105187,,
MNXR104849,,
MNXR104849,,
MNXR104849,,
MNXR101362,,
MNXR101362,,
MNXR174892,,
MNXR101991,,
MNXR101991,,
MNXR104732,,
MNXR104732,,
MNXR104732,,
MNXR126447,,
MNXR101959,,
MNXR104494,,
MNXR104494,,
MNXR104494,,
MNXR104964,,
MNXR104964,,
MNXR104964,,
MNXR138862,,
MNXR138862,,
MNXR104827,,
MNXR134804,,
MNXR100821,,
MNXR100821,,
MNXR100821,,
MNXR96905,,
MNXR96905,,
MNXR96905,,
MNXR100314,,
MNXR100314,,
MNXR100314,,
MNXR134805,,
MNXR101472,,
MNXR101472,,
MNXR101472,,
MNXR96706,,
MNXR96706,,
MNXR96706,,
MNXR95775,,
MNXR152956,,
MNXR125940,,
MNXR99535,,
MNXR153567,,
MNXR191426,,
MNXR115651,,
MNXR115653,,
MNXR144545,,
MNXR134809,,
MNXR100178,,
MNXR100178,,
MNXR99525,,
MNXR99525,,
MNXR99525,,
MNXR105148,,
MNXR105148,,
MNXR105148,,
MNXR97044,,
MNXR97044,,
MNXR190866,,
MNXR105166,,
MNXR105166,,
MNXR188992,,
MNXR104818,,
MNXR104818,,
MNXR104818,,
MNXR100748,,
MNXR100748,,
MNXR191962,,
MNXR105227,,
MNXR105227,,
MNXR105227,,
MNXR100466,,
MNXR100466,,
MNXR191958,,
MNXR100434,,
MNXR100434,,
MNXR100434,,
MNXR188163,,
MNXR97209,,
MNXR97209,,
MNXR97209,,
MNXR100950,,
MNXR100950,,
MNXR100950,,
MNXR100950,,
MNXR101368,,
MNXR101368,,
MNXR101368,,
MNXR101368,,
MNXR101368,,
MNXR134810,,
MNXR101803,,
MNXR101803,,
MNXR101803,,
MNXR101803,,
MNXR101803,,
MNXR101803,,
MNXR102849,,
MNXR102849,,
MNXR102849,,
MNXR102849,,
MNXR102849,,
MNXR96746,,
MNXR96746,,
MNXR96746,,
MNXR96951,,
MNXR96951,,
MNXR96951,,
MNXR96951,,
MNXR96744,,
MNXR96744,,
MNXR96740,,
MNXR96740,,
MNXR95692,,
MNXR95692,,
MNXR95692,,
MNXR95692,,
MNXR95692,,
MNXR100261,,
MNXR100261,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR96106,,
MNXR100371,,
MNXR100371,,
MNXR100371,,
MNXR100371,,
MNXR100371,,
MNXR101489,,
MNXR101489,,
MNXR101489,,
MNXR96069,,
MNXR96069,,
MNXR96069,,
MNXR96069,,
MNXR96069,,
MNXR103197,,
MNXR103197,,
MNXR103197,,
MNXR103197,,
MNXR104949,,
MNXR104949,,
MNXR104949,,
MNXR146605,,
MNXR134811,,
MNXR104033,,
MNXR104033,,
MNXR104033,,
MNXR104033,,
MNXR104033,,
MNXR134812,,
MNXR100237,,
MNXR100237,,
MNXR188131,,
MNXR134813,,
MNXR134814,,
MNXR146317,,
MNXR146341,,
MNXR146323,,
MNXR146345,,
MNXR146349,,
MNXR146352,,
MNXR97025,,
MNXR97025,,
MNXR151386,,
MNXR104469,,
MNXR104469,,
MNXR104469,,
MNXR104469,,
MNXR104469,,
MNXR104469,,
MNXR145906,,
MNXR101056,,
MNXR101056,,
MNXR191138,,
MNXR100823,,
MNXR100823,,
MNXR105189,,
MNXR105189,,
MNXR101055,,
MNXR101055,,
MNXR101055,,
MNXR101055,,
MNXR101055,,
MNXR191136,,
MNXR100822,,
MNXR100822,,
MNXR100822,,
MNXR100822,,
MNXR100822,,
MNXR100822,,
MNXR105190,,
MNXR105190,,
MNXR105190,,
MNXR105190,,
MNXR105190,,
MNXR134815,,
MNXR134816,,
MNXR134817,,
MNXR134818,,
MNXR134819,,
MNXR134820,,
MNXR144546,,
MNXR99612,,
MNXR99612,,
MNXR153002,,
MNXR134822,,
MNXR144547,,
MNXR134824,,
MNXR144548,,
MNXR144549,,
MNXR144550,,
MNXR152241,,
MNXR143408,,
MNXR134828,,
MNXR144551,,
MNXR134830,,
MNXR134831,,
MNXR144552,,
MNXR144553,,
MNXR144554,,
MNXR144555,,
MNXR144556,,
MNXR144557,,
MNXR134838,,
MNXR134839,,
MNXR134840,,
MNXR134841,,
MNXR134842,,
MNXR134843,,
MNXR144558,,
MNXR144559,,
MNXR144560,,
MNXR144561,,
MNXR144562,,
MNXR144563,,
MNXR146530,,
MNXR100924,,
MNXR189688,,
MNXR99522,,
MNXR99522,,
MNXR99522,,
MNXR99522,,
MNXR101448,,
MNXR101448,,
MNXR144564,,
MNXR144565,,
MNXR144566,,
MNXR100300,,
MNXR100300,,
MNXR100300,,
MNXR100300,,
MNXR100300,,
MNXR100300,,
MNXR100300,,
MNXR100285,,
MNXR100285,,
MNXR100285,,
MNXR100285,,
MNXR100285,,
MNXR100645,,
MNXR100645,,
MNXR100645,,
MNXR100645,,
MNXR100645,,
MNXR145214,,
MNXR104850,,
MNXR104850,,
MNXR104850,,
MNXR104850,,
MNXR104850,,
MNXR105003,,
MNXR105003,,
MNXR105003,,
MNXR105003,,
MNXR105003,,
MNXR105003,,
MNXR105003,,
MNXR95953,,
MNXR95953,,
MNXR95953,,
MNXR101267,,
MNXR101267,,
MNXR101267,,
MNXR101267,,
MNXR101267,,
MNXR102635,,
MNXR102635,,
MNXR102635,,
MNXR146002,,
MNXR104352,,
MNXR104352,,
MNXR104352,,
MNXR104352,,
MNXR104352,,
MNXR103053,,
MNXR103053,,
MNXR101808,,
MNXR101808,,
MNXR101808,,
MNXR101808,,
MNXR101808,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102872,,
MNXR102874,,
MNXR102874,,
MNXR102874,,
MNXR105279,,
MNXR105279,,
MNXR105279,,
MNXR100850,,
MNXR100850,,
MNXR188273,,
MNXR97080,,
MNXR97080,,
MNXR97080,,
MNXR95461,,
MNXR95461,,
MNXR190595,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR98641,,
MNXR134853,,
MNXR134854,,
MNXR148726,,
MNXR149084,,
MNXR148945,,
MNXR149066,,
MNXR149056,,
MNXR149075,,
MNXR152638,,
MNXR152622,,
MNXR152619,,
MNXR152642,,
MNXR152626,,
MNXR152666,,
MNXR152676,,
MNXR152656,,
MNXR152659,,
MNXR152680,,
MNXR152663,,
MNXR149073,,
MNXR149091,,
MNXR148953,,
MNXR149053,,
MNXR145327,,
MNXR149081,,
MNXR152849,,
MNXR149063,,
MNXR149087,,
MNXR149069,,
MNXR148728,,
MNXR148949,,
MNXR149077,,
MNXR149059,,
MNXR134855,,
MNXR134856,,
MNXR134857,,
MNXR134858,,
MNXR134859,,
MNXR134860,,
MNXR134861,,
MNXR134862,,
MNXR134863,,
MNXR134864,,
MNXR134865,,
MNXR134866,,
MNXR134867,,
MNXR134868,,
MNXR134869,,
MNXR134870,,
MNXR134871,,
MNXR134872,,
MNXR134873,,
MNXR134874,,
MNXR134875,,
MNXR134876,,
MNXR134877,,
MNXR134878,,
MNXR134879,,
MNXR134880,,
MNXR134881,,
MNXR134882,,
MNXR134883,,
MNXR134884,,
MNXR134885,,
MNXR134886,,
MNXR134887,,
MNXR134888,,
MNXR134889,,
MNXR134890,,
MNXR134891,,
MNXR134892,,
MNXR134893,,
MNXR134894,,
MNXR134895,,
MNXR134896,,
MNXR134897,,
MNXR134898,,
MNXR134899,,
MNXR134900,,
MNXR134901,,
MNXR134902,,
MNXR134903,,
MNXR134904,,
MNXR134905,,
MNXR134906,,
MNXR134907,,
MNXR134908,,
MNXR134909,,
MNXR134910,,
MNXR134911,,
MNXR134912,,
MNXR134913,,
MNXR134914,,
MNXR134915,,
MNXR134916,,
MNXR134917,,
MNXR134918,,
MNXR134919,,
MNXR134920,,
MNXR134921,,
MNXR134922,,
MNXR134923,,
MNXR134924,,
MNXR134925,,
MNXR134926,,
MNXR134927,,
MNXR134928,,
MNXR134929,,
MNXR134930,,
MNXR134931,,
MNXR134932,,
MNXR134933,,
MNXR134934,,
MNXR134935,,
MNXR134936,,
MNXR134937,,
MNXR134938,,
MNXR134939,,
MNXR134940,,
MNXR134941,,
MNXR134942,,
MNXR134943,,
MNXR134944,,
MNXR134945,,
MNXR134946,,
MNXR134947,,
MNXR134948,,
MNXR134949,,
MNXR134950,,
MNXR134951,,
MNXR134952,,
MNXR134953,,
MNXR151376,,
MNXR150904,,
MNXR134954,,
MNXR134955,,
MNXR134956,,
MNXR134957,,
MNXR134958,,
MNXR134959,,
MNXR145557,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR101950,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR96810,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR102090,,
MNXR103385,,
MNXR103385,,
MNXR103385,,
MNXR103385,,
MNXR103385,,
MNXR100334,,
MNXR100334,,
MNXR100334,,
MNXR100385,,
MNXR188151,,
MNXR94804,,
MNXR94804,,
MNXR94822,,
MNXR94822,,
MNXR94824,,
MNXR94824,,
MNXR94855,,
MNXR94855,,
MNXR94856,,
MNXR190432,,
MNXR94860,,
MNXR94860,,
MNXR94867,,
MNXR94867,,
MNXR94973,,
MNXR94973,,
MNXR94982,,
MNXR190464,,
MNXR95090,,
MNXR95090,,
MNXR95090,,
MNXR95102,,
MNXR95102,,
MNXR95190,,
MNXR95190,,
MNXR95190,,
MNXR95190,,
MNXR152735,,
MNXR95207,,
MNXR95207,,
MNXR95207,,
MNXR95207,,
MNXR95253,,
MNXR95253,,
MNXR190529,,
MNXR95276,,
MNXR190537,,
MNXR95291,,
MNXR95291,,
MNXR95291,,
MNXR152781,,
MNXR95429,,
MNXR95429,,
MNXR95429,,
MNXR95429,,
MNXR95429,,
MNXR134960,,
MNXR134961,,
MNXR95446,,
MNXR95446,,
MNXR95446,,
MNXR95661,,
MNXR95661,,
MNXR95661,,
MNXR95661,,
MNXR97135,,
MNXR97135,,
MNXR97135,,
MNXR97135,,
MNXR96212,,
MNXR96212,,
MNXR96212,,
MNXR95704,,
MNXR95704,,
MNXR95704,,
MNXR95704,,
MNXR95704,,
MNXR151244,,
MNXR95831,,
MNXR95831,,
MNXR134962,,
MNXR95912,,
MNXR95912,,
MNXR95912,,
MNXR95912,,
MNXR126356,,
MNXR95932,,
MNXR95932,,
MNXR153016,,
MNXR95947,,
MNXR95947,,
MNXR134963,,
MNXR134964,,
MNXR96076,,
MNXR96076,,
MNXR95963,,
MNXR96073,,
MNXR96073,,
MNXR192409,,
MNXR96066,,
MNXR96066,,
MNXR96066,,
MNXR96066,,
MNXR192404,,
MNXR96254,,
MNXR96254,,
MNXR96328,,
MNXR96350,,
MNXR96350,,
MNXR153116,,
MNXR96435,,
MNXR96435,,
MNXR96435,,
MNXR96437,,
MNXR96437,,
MNXR96437,,
MNXR96474,,
MNXR190764,,
MNXR96495,,
MNXR96495,,
MNXR96495,,
MNXR96498,,
MNXR96498,,
MNXR96498,,
MNXR96586,,
MNXR96710,,
MNXR96710,,
MNXR96741,,
MNXR96741,,
MNXR96742,,
MNXR96743,,
MNXR96743,,
MNXR96745,,
MNXR96745,,
MNXR96805,,
MNXR190818,,
MNXR96913,,
MNXR96913,,
MNXR153275,,
MNXR96929,,
MNXR96929,,
MNXR96929,,
MNXR96950,,
MNXR96950,,
MNXR96950,,
MNXR96950,,
MNXR97002,,
MNXR97002,,
MNXR97260,,
MNXR153321,,
MNXR97367,,
MNXR97367,,
MNXR97367,,
MNXR97367,,
MNXR97367,,
MNXR97467,,
MNXR97467,,
MNXR97468,,
MNXR97468,,
MNXR97469,,
MNXR97469,,
MNXR97470,,
MNXR97470,,
MNXR142734,,
MNXR152139,,
MNXR97472,,
MNXR97472,,
MNXR96656,,
MNXR96656,,
MNXR96656,,
MNXR97473,,
MNXR97473,,
MNXR97474,,
MNXR97474,,
MNXR97475,,
MNXR97475,,
MNXR127034,,
MNXR97477,,
MNXR153367,,
MNXR97478,,
MNXR97478,,
MNXR97479,,
MNXR97479,,
MNXR97480,,
MNXR97480,,
MNXR97483,,
MNXR97483,,
MNXR97782,,
MNXR153397,,
MNXR97896,,
MNXR188086,,
MNXR97975,,
MNXR97975,,
MNXR97975,,
MNXR97977,,
MNXR97977,,
MNXR97977,,
MNXR97982,,
MNXR97982,,
MNXR99079,,
MNXR99504,,
MNXR99504,,
MNXR99504,,
MNXR99538,,
MNXR99538,,
MNXR143100,,
MNXR152160,,
MNXR99621,,
MNXR99621,,
MNXR99621,,
MNXR99621,,
MNXR99621,,
MNXR99621,,
MNXR99661,,
MNXR99661,,
MNXR153611,,
MNXR99713,,
MNXR99713,,
MNXR99713,,
MNXR99848,,
MNXR153684,,
MNXR99913,,
MNXR99913,,
MNXR191980,,
MNXR94994,,
MNXR94994,,
MNXR94994,,
MNXR94994,,
MNXR94994,,
MNXR94994,,
MNXR99962,,
MNXR99962,,
MNXR99962,,
MNXR153732,,
MNXR100026,,
MNXR100026,,
MNXR100026,,
MNXR144945,,
MNXR100018,,
MNXR100018,,
MNXR100018,,
MNXR100031,,
MNXR100031,,
MNXR100031,,
MNXR188089,,
MNXR100034,,
MNXR100034,,
MNXR188093,,
MNXR100052,,
MNXR144955,,
MNXR100209,,
MNXR100209,,
MNXR100209,,
MNXR100209,,
MNXR100221,,
MNXR100221,,
MNXR145042,,
MNXR100238,,
MNXR100238,,
MNXR100238,,
MNXR100234,,
MNXR100234,,
MNXR100234,,
MNXR188127,,
MNXR100307,,
MNXR100307,,
MNXR100309,,
MNXR100309,,
MNXR100315,,
MNXR100315,,
MNXR100315,,
MNXR100211,,
MNXR100211,,
MNXR100211,,
MNXR145031,,
MNXR100343,,
MNXR100343,,
MNXR100343,,
MNXR100343,,
MNXR100343,,
MNXR100343,,
MNXR100368,,
MNXR100368,,
MNXR100368,,
MNXR100368,,
MNXR100368,,
MNXR100368,,
MNXR100368,,
MNXR100620,,
MNXR100620,,
MNXR100625,,
MNXR100625,,
MNXR100625,,
MNXR100625,,
MNXR100786,,
MNXR100786,,
MNXR100787,,
MNXR100787,,
MNXR100787,,
MNXR100841,,
MNXR100841,,
MNXR188263,,
MNXR100880,,
MNXR100880,,
MNXR100880,,
MNXR100951,,
MNXR100951,,
MNXR100951,,
MNXR100939,,
MNXR100939,,
MNXR100939,,
MNXR100939,,
MNXR101015,,
MNXR145412,,
MNXR101024,,
MNXR188314,,
MNXR101033,,
MNXR101033,,
MNXR101033,,
MNXR101094,,
MNXR145442,,
MNXR101277,,
MNXR101277,,
MNXR101277,,
MNXR101277,,
MNXR101277,,
MNXR101366,,
MNXR101366,,
MNXR101369,,
MNXR101369,,
MNXR101372,,
MNXR101372,,
MNXR101372,,
MNXR101363,,
MNXR101363,,
MNXR188359,,
MNXR101358,,
MNXR101358,,
MNXR188349,,
MNXR101377,,
MNXR145517,,
MNXR101401,,
MNXR101401,,
MNXR145538,,
MNXR101403,,
MNXR188371,,
MNXR188384,,
MNXR101482,,
MNXR101482,,
MNXR189550,,
MNXR101487,,
MNXR101487,,
MNXR101491,,
MNXR101491,,
MNXR101507,,
MNXR101507,,
MNXR101507,,
MNXR101507,,
MNXR101507,,
MNXR101507,,
MNXR101507,,
MNXR101677,,
MNXR101677,,
MNXR145659,,
MNXR101681,,
MNXR101681,,
MNXR101681,,
MNXR101689,,
MNXR101689,,
MNXR101689,,
MNXR101703,,
MNXR145681,,
MNXR101741,,
MNXR101741,,
MNXR101741,,
MNXR101802,,
MNXR101802,,
MNXR101802,,
MNXR101802,,
MNXR134974,,
MNXR101984,,
MNXR101984,,
MNXR101984,,
MNXR101985,,
MNXR101985,,
MNXR101993,,
MNXR101993,,
MNXR101993,,
MNXR102224,,
MNXR102224,,
MNXR102224,,
MNXR102339,,
MNXR102339,,
MNXR102493,,
MNXR102493,,
MNXR103092,,
MNXR103111,,
MNXR103111,,
MNXR105146,,
MNXR105146,,
MNXR146723,,
MNXR134976,,
MNXR103211,,
MNXR103211,,
MNXR103211,,
MNXR103211,,
MNXR146138,,
MNXR103244,,
MNXR103244,,
MNXR103245,,
MNXR191169,,
MNXR103351,,
MNXR146188,,
MNXR103416,,
MNXR146218,,
MNXR104035,,
MNXR104035,,
MNXR104030,,
MNXR104030,,
MNXR104041,,
MNXR104041,,
MNXR146309,,
MNXR104266,,
MNXR104266,,
MNXR104266,,
MNXR104291,,
MNXR104291,,
MNXR97798,,
MNXR97798,,
MNXR97798,,
MNXR104466,,
MNXR104466,,
MNXR104466,,
MNXR104497,,
MNXR104497,,
MNXR104497,,
MNXR104497,,
MNXR104533,,
MNXR104533,,
MNXR146463,,
MNXR104622,,
MNXR104622,,
MNXR104622,,
MNXR104643,,
MNXR104643,,
MNXR146497,,
MNXR104645,,
MNXR104645,,
MNXR104645,,
MNXR104814,,
MNXR104814,,
MNXR104830,,
MNXR104830,,
MNXR134977,,
MNXR104950,,
MNXR104950,,
MNXR104950,,
MNXR104950,,
MNXR146607,,
MNXR105126,,
MNXR188976,,
MNXR105156,,
MNXR105156,,
MNXR105156,,
MNXR105156,,
MNXR105156,,
MNXR105156,,
MNXR146728,,
MNXR105188,,
MNXR105188,,
MNXR105188,,
MNXR105188,,
MNXR105188,,
MNXR105271,,
MNXR105271,,
MNXR105271,,
MNXR100298,,
MNXR100298,,
MNXR100020,,
MNXR100020,,
MNXR136479,,
MNXR96737,,
MNXR96737,,
MNXR101383,,
MNXR145522,,
MNXR100703,,
MNXR100703,,
MNXR97805,,
MNXR97805,,
MNXR105246,,
MNXR105246,,
MNXR189026,,
MNXR138207,,
MNXR138207,,
MNXR138207,,
MNXR95770,,
MNXR95770,,
MNXR95770,,
MNXR96353,,
MNXR134979,,
MNXR104121,,
MNXR104121,,
MNXR134980,,
MNXR103340,,
MNXR103340,,
MNXR103340,,
MNXR103340,,
MNXR134981,,
MNXR134982,,
MNXR126764,,
MNXR151452,,
MNXR101271,,
MNXR101271,,
MNXR134983,,
MNXR144567,,
MNXR134985,,
MNXR134986,,
MNXR134987,,
MNXR134988,,
MNXR134989,,
MNXR134990,,
MNXR134991,,
MNXR134992,,
MNXR134993,,
MNXR134993,,
MNXR134994,,
MNXR134995,,
MNXR134996,,
MNXR134997,,
MNXR134998,,
MNXR144568,,
MNXR135000,,
MNXR135001,,
MNXR135002,,
MNXR135003,,
MNXR135004,,
MNXR135005,,
MNXR135006,,
MNXR135007,,
MNXR135008,,
MNXR135009,,
MNXR135010,,
MNXR135011,,
MNXR135012,,
MNXR135013,,
MNXR135014,,
MNXR135015,,
MNXR135016,,
MNXR95316,,
MNXR152824,,
MNXR152929,,
MNXR100304,,
MNXR100304,,
MNXR95752,,
MNXR95752,,
MNXR95752,,
MNXR191004,,
MNXR99498,,
MNXR192429,,
MNXR135017,,
MNXR135018,,
MNXR100843,,
MNXR188266,,
MNXR188305,,
MNXR95385,,
MNXR95385,,
MNXR152855,,
MNXR101619,,
MNXR101619,,
MNXR101619,,
MNXR183534,,
MNXR135020,,
MNXR135021,,
MNXR135022,,
MNXR140046,,
MNXR135024,,
MNXR135025,,
MNXR146832,,
MNXR135026,,
MNXR135027,,
MNXR135028,,
MNXR115194,,
MNXR146850,,
MNXR146853,,
MNXR146857,,
MNXR135029,,
MNXR135030,,
MNXR146861,,
MNXR146863,,
MNXR135031,,
MNXR146866,,
MNXR146869,,
MNXR146871,,
MNXR146873,,
MNXR135032,,
MNXR146875,,
MNXR146877,,
MNXR146879,,
MNXR135033,,
MNXR146881,,
MNXR102486,,
MNXR145940,,
MNXR135034,,
MNXR133769,,
MNXR135035,,
MNXR189355,,
MNXR189371,,
MNXR151455,,
MNXR189449,,
MNXR144569,,
MNXR135037,,
MNXR190041,,
MNXR125938,,
MNXR189387,,
MNXR189441,,
MNXR189467,,
MNXR135038,,
MNXR135039,,
MNXR135040,,
MNXR135041,,
MNXR135042,,
MNXR135043,,
MNXR146891,,
MNXR146899,,
MNXR189455,,
MNXR135044,,
MNXR135045,,
MNXR135046,,
MNXR135047,,
MNXR135048,,
MNXR190210,,
MNXR145808,,
MNXR145756,,
MNXR146906,,
MNXR146908,,
MNXR146910,,
MNXR146913,,
MNXR146915,,
MNXR135049,,
MNXR146919,,
MNXR145335,,
MNXR135050,,
MNXR146921,,
MNXR135051,,
MNXR146926,,
MNXR189401,,
MNXR151534,,
MNXR135052,,
MNXR146931,,
MNXR135053,,
MNXR135054,,
MNXR135055,,
MNXR135056,,
MNXR135057,,
MNXR135058,,
MNXR135059,,
MNXR135060,,
MNXR189443,,
MNXR135061,,
MNXR146947,,
MNXR146950,,
MNXR146956,,
MNXR146959,,
MNXR135062,,
MNXR146970,,
MNXR191152,,
MNXR146978,,
MNXR135063,,
MNXR135064,,
MNXR135065,,
MNXR132693,,
MNXR135066,,
MNXR135067,,
MNXR135068,,
MNXR135069,,
MNXR189457,,
MNXR135070,,
MNXR146994,,
MNXR146997,,
MNXR147000,,
MNXR147003,,
MNXR147005,,
MNXR147007,,
MNXR147010,,
MNXR151168,,
MNXR135071,,
MNXR135072,,
MNXR147016,,
MNXR147018,,
MNXR147021,,
MNXR125793,,
MNXR147025,,
MNXR135073,,
MNXR191216,,
MNXR135075,,
MNXR145768,,
MNXR147054,,
MNXR151440,,
MNXR189403,,
MNXR147068,,
MNXR135076,,
MNXR147074,,
MNXR135077,,
MNXR189465,,
MNXR135078,,
MNXR189453,,
MNXR135079,,
MNXR135080,,
MNXR126144,,
MNXR147119,,
MNXR147122,,
MNXR152289,,
MNXR147125,,
MNXR147129,,
MNXR151086,,
MNXR147133,,
MNXR147135,,
MNXR147137,,
MNXR189409,,
MNXR189411,,
MNXR135083,,
MNXR144570,,
MNXR151577,,
MNXR147161,,
MNXR147163,,
MNXR135086,,
MNXR135087,,
MNXR135088,,
MNXR126235,,
MNXR99642,,
MNXR99642,,
MNXR135089,,
MNXR102196,,
MNXR188596,,
MNXR189515,,
MNXR135091,,
MNXR142153,,
MNXR135093,,
MNXR135094,,
MNXR147195,,
MNXR147197,,
MNXR147199,,
MNXR147201,,
MNXR147203,,
MNXR135095,,
MNXR135096,,
MNXR189419,,
MNXR147217,,
MNXR145916,,
MNXR147221,,
MNXR147224,,
MNXR147227,,
MNXR135097,,
MNXR147233,,
MNXR147236,,
MNXR146291,,
MNXR147240,,
MNXR125711,,
MNXR135098,,
MNXR147246,,
MNXR147248,,
MNXR147250,,
MNXR147252,,
MNXR147254,,
MNXR135099,,
MNXR147256,,
MNXR147258,,
MNXR135100,,
MNXR147260,,
MNXR135101,,
MNXR135102,,
MNXR147265,,
MNXR147274,,
MNXR147278,,
MNXR147281,,
MNXR144571,,
MNXR135104,,
MNXR135105,,
MNXR147290,,
MNXR147292,,
MNXR135106,,
MNXR135107,,
MNXR147296,,
MNXR125730,,
MNXR135108,,
MNXR189461,,
MNXR147319,,
MNXR147330,,
MNXR135109,,
MNXR147337,,
MNXR135110,,
MNXR135111,,
MNXR135112,,
MNXR135113,,
MNXR151579,,
MNXR147350,,
MNXR147354,,
MNXR189379,,
MNXR147361,,
MNXR135115,,
MNXR147368,,
MNXR147370,,
MNXR189463,,
MNXR95411,,
MNXR95411,,
MNXR152861,,
MNXR95403,,
MNXR95403,,
MNXR95403,,
MNXR95403,,
MNXR152859,,
MNXR135116,,
MNXR147394,,
MNXR125794,,
MNXR126075,,
MNXR152695,,
MNXR147396,,
MNXR147399,,
MNXR189369,,
MNXR147406,,
MNXR135117,,
MNXR145167,,
MNXR147413,,
MNXR147416,,
MNXR147422,,
MNXR147424,,
MNXR147427,,
MNXR147430,,
MNXR147433,,
MNXR153160,,
MNXR147435,,
MNXR135118,,
MNXR135119,,
MNXR135120,,
MNXR135121,,
MNXR189459,,
MNXR189499,,
MNXR135122,,
MNXR135123,,
MNXR147453,,
MNXR129200,,
MNXR147456,,
MNXR189417,,
MNXR189381,,
MNXR147464,,
MNXR135124,,
MNXR135125,,
MNXR152309,,
MNXR152311,,
MNXR147475,,
MNXR147477,,
MNXR147479,,
MNXR147481,,
MNXR104058,,
MNXR146313,,
MNXR135126,,
MNXR135127,,
MNXR135128,,
MNXR146335,,
MNXR146329,,
MNXR145593,,
MNXR152914,,
MNXR147492,,
MNXR147494,,
MNXR151666,,
MNXR147496,,
MNXR147498,,
MNXR147500,,
MNXR147502,,
MNXR191235,,
MNXR147505,,
MNXR147507,,
MNXR147509,,
MNXR192021,,
MNXR153168,,
MNXR135129,,
MNXR135130,,
MNXR135131,,
MNXR151509,,
MNXR135132,,
MNXR147520,,
MNXR147523,,
MNXR151511,,
MNXR135133,,
MNXR135134,,
MNXR147531,,
MNXR192099,,
MNXR152585,,
MNXR142171,,
MNXR144432,,
MNXR144342,,
MNXR144572,,
MNXR144573,,
MNXR135142,,
MNXR144574,,
MNXR135144,,
MNXR135145,,
MNXR147550,,
MNXR135146,,
MNXR135147,,
MNXR135148,,
MNXR135149,,
MNXR135150,,
MNXR135151,,
MNXR189431,,
MNXR135152,,
MNXR189363,,
MNXR135153,,
MNXR125956,,
MNXR135154,,
MNXR135155,,
MNXR153221,,
MNXR125727,,
MNXR189445,,
MNXR147573,,
MNXR147576,,
MNXR147578,,
MNXR147580,,
