MetaNetX,equation,deltag
MNXR106379,(3) cpd00007[0] + (4) cpd00077[0] => (6) cpd00001[0] + (2) cpd02409[0]; 4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861,-264.94
MNXR151778,(1) cpd00007[0] + (4) cpd00067[0] + (4) cpd00110[0] => (2) cpd00001[0] + (4) cpd00109[0]; C00007 + 4 C00126 + 4 C00080 <=> 4 C00125 + 2 C00001,10000000.0
MNXR106381,(1) cpd00007[0] + (4) cpd11798[0] <=> (2) cpd00001[0] + (4) cpd11796[0]; C00007 + 4 C01000 <=> 4 C00997 + 2 C00001; (1) cpd00007[0] + (4) cpd11798[0] => (2) cpd00001[0] + (4) cpd11796[0],10000000.0
MNXR146841,(1) cpd00007[0] + (4) cpd01232[0] <= (2) cpd00001[0] + (4) cpd12695[0]; C00007 + 4 C01785 <=> 4 C05309 + 2 C00001; (1) cpd00007[0] + (4) cpd00077[0] <=> (2) cpd00001[0] + (4) cpd12695[0],10000000.0
MNXR100658,4 C00931 + C00001 <=> C01024 + 4 C00014; (1) cpd00001[0] + (4) cpd00689[0] => (4) cpd00013[0] + (1) cpd00755[0],-32.71
MNXR96128,C00002 + 2 C00001 <=> C00020 + 2 C00009; (2) cpd00001[0] + (1) cpd00002[0] => (2) cpd00009[0] + (1) cpd00018[0] + (3) cpd00067[0],-11.9
MNXR96131; MNXR153054,C00002 + C00001 <=> C00008 + C00009,
MNXR102054; MNXR145807,(1) cpd00001[0] + (1) cpd00002[0] => (1) cpd00012[0] + (1) cpd00018[0] + (2) cpd00067[0]; C00002 + C00001 <=> C00020 + C00013,-8.43
MNXR190722; MNXR96130,(1) cpd00001[0] + (1) cpd00002[0] + (1) cpd00067[0] => (1) cpd00013[0] + (1) cpd00068[0]; C00002 + C00001 <=> C00081 + C00014,-13.75
MNXR95444,C00002 <=> C00575 + C00013; (1) cpd00002[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd00446[0],1.72
MNXR101879,(1) cpd00004[0] + (1) cpd00025[0] + (1) cpd00067[0] => (2) cpd00001[0] + (1) cpd00003[0]; C00027 + C00004 + C00080 <=> C00003 + 2 C00001,-77.79
MNXR192059,C00003 + 2 C00010 <=> C02015 + C00004 + C00080; (1) cpd00003[0] + (2) cpd00010[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd01378[0],2.91
MNXR106384,C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819; (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd10515[0] <= (1) cpd00004[0] + (2) cpd10516[0]; (1) cpd00004[0] + (2) cpd10516[0] => (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd10515[0],-48.81; 48.81
MNXR100289,2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080; (1) cpd00003[0] + (2) cpd00023[0] <=> (1) cpd00004[0] + (1) cpd00024[0] + (1) cpd00053[0] + (1) cpd00067[0],11.53
MNXR100097,2 C00051 + C00003 <=> C00127 + C00004 + C00080; (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00111[0] <=> (1) cpd00003[0] + (2) cpd00042[0]; (1) cpd00003[0] + (2) cpd00042[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00111[0],3.7; -3.7
